Entity,Code,Year,CM,HE,Population,Continent
Australia,AUS,1900,,,3693392,
Australia,AUS,1901,,,3755077,
Australia,AUS,1902,,,3815607,
Australia,AUS,1903,,,3874926,
Australia,AUS,1904,,,3935167,
Australia,AUS,1905,,,3996345,
Australia,AUS,1906,,,4058473,
Australia,AUS,1907,,,4121568,
Australia,AUS,1908,,,4185642,
Australia,AUS,1909,,,4254768,
Australia,AUS,1910,,,4329104,
Australia,AUS,1911,,,4408814,
Australia,AUS,1912,,,4494067,
Australia,AUS,1913,,,4585034,
Australia,AUS,1914,,,4677842,
Australia,AUS,1915,,,4772528,
Australia,AUS,1916,,,4869131,
Australia,AUS,1917,,,4967689,
Australia,AUS,1918,,,5069403,
Australia,AUS,1919,,,5171666,
Australia,AUS,1920,,,5274460,
Australia,AUS,1921,,,5377766,
Australia,AUS,1922,,,5481563,
Australia,AUS,1923,,,5585832,
Australia,AUS,1924,,,5692084,
Australia,AUS,1925,,,5800358,
Australia,AUS,1926,,,5910690,
Australia,AUS,1927,,,6023122,
Australia,AUS,1928,,,6137692,
Australia,AUS,1929,,,6241064,
Australia,AUS,1930,,,6332911,
Australia,AUS,1931,,,6412898,
Australia,AUS,1932,,,6480684,
Australia,AUS,1933,,,6535920,
Australia,AUS,1934,,,6591627,
Australia,AUS,1935,,,6647809,
Australia,AUS,1936,,,6704469,
Australia,AUS,1937,,,6761613,
Australia,AUS,1938,,,6819243,
Australia,AUS,1939,,,6887974,
Australia,AUS,1940,,,6968070,
Australia,AUS,1941,,,7059804,
Australia,AUS,1942,,,7163452,
Australia,AUS,1943,,,7279295,
Australia,AUS,1944,,,7397011,
Australia,AUS,1945,,,7516631,
Australia,AUS,1946,,,7638185,
Australia,AUS,1947,,,7761706,
Australia,AUS,1948,,,7887223,
Australia,AUS,1949,,,8025619,
Australia,AUS,1950,,,8177348,
Australia,AUS,1951,,,8398224,
Australia,AUS,1952,,,8595064,
Australia,AUS,1953,,,8782177,
Australia,AUS,1954,,,8970121,
Australia,AUS,1955,,,9165700,
Australia,AUS,1956,,,9371781,
Australia,AUS,1957,,,9587459,
Australia,AUS,1958,,,9808595,
Australia,AUS,1959,,,10028799,
Australia,AUS,1960,2.489999962,,10242070,
Australia,AUS,1961,2.429999924,,10445836,
Australia,AUS,1962,2.370000076,,10643420,
